CLFXTR,CONVERT TO LOGICAL (extended DFP to 32),RRF-e,C,F,"¤7,9",,SP Dt,,Xi,Xx,,B94B,20-31,,,
CLG,COMPARE LOGICAL (64),RXY-a,C,N,,A,,,,,B2,E321,7-135,,,
CLGDBR,CONVERT TO LOGICAL (long BFP to 64),RRF-e,C,F,"¤7,9",,SP Db,,Xi,Xx,,B3AD,19-25,,,
CLGDTR,CONVERT TO LOGICAL (long DFP to 64),RRF-e,C,F,"¤7,9",,,Dt,Xi,Xx,,B942,20-31,,,
CLGEBR,CONVERT TO LOGICAL (short BFP to 64),RRF-e,C,F,"¤7,9",,SP Db,,Xi,Xx,,B3AC,19-25,,,
CLGF,COMPARE LOGICAL (6432),RXY-a,C,N,,A,,,,,B2,E331,7-135,,,
CLGFI,COMPARE LOGICAL IMMEDIATE (6432),RIL-a,C,EI,,,,,,,,,C2E,7-135,,
CLGFR,COMPARE LOGICAL (6432),RRE,C,N,,,,,,,,,B931,7-135,,
CLGFRL,COMPARE LOGICAL RELATIVE LONG (6432),RIL-b,C,GE,,A*,SP,,,,,,C6E,7-136,,
CLGHRL,COMPARE LOGICAL RELATIVE LONG (6416),RIL-b,C,GE,,A*,,,,,,,C66,7-136,,
CLGHSI,COMPARE LOGICAL IMMEDIATE (6416),SIL,C,GE,,A,,,,,B1,,E559,7-135,,
CLGIB,COMPARE LOGICAL IMMEDIATE AND BRANCH,RIS,,GE,¤9,,,,B,,,,ECFD,7-137,,
CLGIJ,COMPARE LOGICAL IMMEDIATE AND BRANCH,RIE-c,,GE,¤10,,,,B,,,,EC7D 7-137,,,
CLGIT,COMPARE LOGICAL IMMEDIATE AND TRAP,RIE-a,,GE,,,,Dc,,,,,EC71,7-139,,
CLGR,COMPARE LOGICAL (64),RRE,C,N,,,,,,,,,B921,7-135,,
CLGRB,COMPARE LOGICAL AND BRANCH (64),RRS,,GE,¤9,,,,B,,,,ECE5,7-137,,
CLGRJ,COMPARE LOGICAL AND BRANCH RELATIVE (64),RIE-b,,GE,¤10,,,,B,,,,EC65,7-137,,
CLGRL,COMPARE LOGICAL RELATIVE LONG (64),RIL-b,C,GE,,A*,SP,,,,,,C6A,7-136,,
CLGRT,COMPARE LOGICAL AND TRAP (64),RRF-c,,GE,,,,Dc,,,,,B961,7-138,,
CLGT,COMPARE LOGICAL AND TRAP (64),RSY-b,,MI,,A,,Dc,,,,B2,EB2B,7-138,,
CLGXBR,CONVERT TO LOGICAL (extended BFP to 64),RRF-e,C,F,"¤7,9",,SP Db,Xi,Xx,,,,B3AE,19-25,,
CLGXTR,CONVERT TO LOGICAL (extended DFP to 64),RRF-e,C,F,"¤7,9",,SP Dt,Xi,Xx,,,,B94A,20-31,,
CLHF,COMPARE LOGICAL HIGH (32),RXY-a,C,HW,,A,,,,,,B2,E3CF,7-140,,
CLHHR,COMPARE LOGICAL HIGH (32),RRE,C,HW,,,,,,,,,B9CF,7-140,,
CLHHSI,COMPARE LOGICAL IMMEDIATE (1616),SIL,C,GE,,A,,,,,B1,,E555,7-135,,
CLHLR,COMPARE LOGICAL HIGH (32),RRE,C,HW,,,,,,,,,B9DF,7-140,,
CLHRL,COMPARE LOGICAL RELATIVE LONG (3216),RIL-b,C,GE,,A*,,,,,,,C67,7-136,,
